---
name: Weekly Training Hours
category: cycling
type: input
unit: hours
---
timestamp,value
2024-01-01,8
2024-01-08,10
2024-01-15,12
2024-01-22,9
2024-01-29,11
2024-02-05,13
2024-02-12,14
2024-02-19,10
2024-02-26,12
2024-03-05,15
2024-03-12,16
2024-03-19,11
2024-03-26,13
2024-04-02,14
2024-04-09,12
2024-04-16,15
2024-04-23,17
2024-04-30,13
2024-05-07,14
2024-05-14,16
2024-05-21,18
2024-05-28,15
2024-06-04,17
2024-06-11,19
2024-06-18,16
2024-06-25,18
2024-07-02,20
2024-07-09,17
2024-07-16,19
2024-07-23,21
2024-07-30,18
2024-08-06,20
2024-08-13,22
2024-08-20,19
2024-08-27,21
