---
name: Features Shipped
category: work
type: input
unit: count
---
timestamp,value
2024-01-01,3
2024-01-08,2
2024-01-15,4
2024-01-22,3
2024-01-29,5
2024-02-05,2
2024-02-12,3
2024-02-19,4
2024-02-26,3
2024-03-05,5
2024-03-12,4
2024-03-19,3
2024-03-26,6
2024-04-02,4
2024-04-09,3
2024-04-16,5
2024-04-23,3
2024-04-30,4
2024-05-07,6
2024-05-14,5
2024-05-21,4
2024-05-28,3
2024-06-04,5
2024-06-11,4
2024-06-18,6
2024-06-25,5
2024-07-02,4
2024-07-09,3
2024-07-16,5
2024-07-23,6
2024-07-30,4
2024-08-06,5
2024-08-13,3
2024-08-20,4
2024-08-27,6
